user,item,authors,genres,rating
5559,1408,[834],[1381],4
5129,2342,[328],[1403],5
5204,389,[287],"[1405, 1394, 1361, 1370]",5
3411,493,[93],[1369],3
3063,831,[544],"[1464, 1398, 1540]",3
2054,1203,[25],[1361],3
498,24,[22],"[1394, 1363, 1360, 1395, 1396]",5
2710,2632,[715],"[1661, 1445]",4
1884,2052,[321],[1366],5
5490,621,[179],[1399],5
2091,1320,[695],"[1360, 1473, 1485, 1457]",3
3217,1298,[672],[1562],2
2945,360,[264],[1360],4
4355,2554,[1303],"[1371, 1438, 1414, 1377]",3
3197,310,[229],"[1361, 1440]",5
1187,1379,[64],[1370],2
1405,478,[341],[1374],3
2450,2056,[377],"[1398, 1363, 1437, 1517]",3
3170,2107,[107],"[1398, 1376]",4
3653,1360,[143],"[1517, 1409, 1380, 1377]",4
496,2269,[170],"[1366, 1482]",5
4203,2063,[543],"[1398, 1439, 1457, 1370]",5
2243,1168,[718],[1360],3
3989,63,[50],[1398],4
68,1691,[543],"[1369, 1487, 1370]",4
2319,1863,[1052],[1464],5
5386,1849,[1046],[1363],4
3715,458,[327],"[1426, 1376]",2
1476,879,[569],[1385],4
3994,2333,[682],"[1450, 1360, 1568, 1380]",4
3029,765,"[505, 506]","[1398, 1374, 1539, 1363]",5
2149,1436,[505],[1398],3
327,1919,[420],[1526],3
3210,14,[11],"[1377, 1378, 1379, 1380]",2
2650,88,[53],"[1411, 1378, 1425]",1
2130,1495,[180],"[1468, 1382]",2
269,1134,[2],"[1366, 1374]",4
3699,100,[63],"[1398, 1360, 1363]",3
5034,28,[26],"[1377, 1380, 1360]",3
756,2166,[235],"[1479, 1401, 1376]",4
2878,2342,[328],[1403],5
670,1667,[912],"[1374, 1362]",5
4830,112,[75],"[1433, 1398, 1370]",4
248,488,[126],"[1369, 1456]",4
2841,111,[74],[1432],4
4553,362,[266],[1489],5
4774,1921,[1070],"[1360, 1457, 1517, 1449]",3
1085,1783,[519],"[1370, 1441, 1398, 1387]",4
3669,987,[634],"[1481, 1377, 1464, 1360]",5
3415,1215,[191],[1398],5
352,1292,[177],[1363],5
1751,237,[166],[1394],2
1521,2099,[468],[1370],2
1618,1777,[79],"[1360, 1436, 1540]",3
2392,876,[84],"[1366, 1361, 1401, 1376]",3
4190,2512,[1290],"[1457, 1449, 1377, 1360, 1470]",4
1947,2390,[407],"[1560, 1385]",5
5388,769,[508],"[1363, 1494]",4
1712,2264,[1],[1432],4
1505,1504,[107],[1376],5
2567,2380,[1246],[1383],3
2848,1863,[1052],[1464],5
1366,2632,[715],"[1661, 1445]",4
2763,273,[191],"[1366, 1472]",5
28,2447,[339],[1363],5
4351,2113,[411],"[1363, 1364]",4
146,1904,[1066],"[1457, 1540, 1360, 1568, 1380]",4
1740,2498,[184],"[1372, 1438, 1495, 1371, 1469, 1418]",4
414,187,[130],"[1398, 1391, 1377, 1418, 1374]",5
2557,2563,[211],"[1363, 1377, 1437, 1364, 1398]",3
5231,1592,[922],"[1411, 1521, 1615, 1388]",4
4288,2461,[1271],"[1653, 1398]",5
1092,284,"[201, 202, 203, 204]","[1474, 1475]",4
2884,1691,[543],"[1369, 1487, 1370]",3
4235,1179,[723],[1567],4
3446,1025,"[59, 657]","[1398, 1457, 1363]",3
2498,65,[50],[1398],3
4216,2203,[360],"[1361, 1401, 1370]",3
1734,2501,[932],"[1457, 1377, 1481, 1360, 1380]",2
2812,1888,[767],"[1450, 1457, 1399, 1398, 1380, 1540]",5
2363,1388,[352],[1398],2
922,1549,[901],[1567],4
3845,1113,[698],"[1374, 1472]",3
1303,2632,[715],"[1661, 1445]",4
717,2485,[476],[1366],5
2298,160,[107],"[1448, 1376]",3
3935,1166,[716],"[1374, 1540, 1387, 1378]",4
2349,287,[208],[1385],1
518,493,[93],[1369],3
2025,849,[310],"[1453, 1432]",5
4567,1151,[707],"[1540, 1457, 1402]",4
37,2040,"[543, 50]","[1390, 1398, 1370]",5
2854,31,[29],[1405],2
4541,327,[240],"[1401, 1387, 1383]",4
1314,1607,[738],[1385],2
477,2203,[360],"[1361, 1401, 1370]",5
807,1887,[838],"[1399, 1385]",5
2298,158,[107],"[1370, 1376]",4
830,544,[380],"[1360, 1419, 1402, 1457]",5
4744,499,[126],"[1449, 1418, 1470, 1377, 1438]",5
4255,2146,[1159],[1369],5
3286,1853,[170],"[1363, 1482, 1401]",4
4877,354,[149],[1363],4
1586,1256,[760],[1374],5
2046,1919,[420],[1526],5
3765,2371,[189],[1472],4
2509,1229,[520],[1363],5
345,213,[150],"[1426, 1421]",4
5409,187,[130],"[1398, 1391, 1377, 1418, 1374]",3
2721,1865,[505],"[1401, 1374, 1398, 1539, 1443]",3
4129,608,[328],[1360],4
1199,907,[587],[1387],3
93,2410,[613],[1451],5
2186,16,[13],[1381],5
218,2053,[672],[1390],4
5212,1077,[314],"[1401, 1398]",3
3307,1224,[744],"[1460, 1380, 1425]",5
5167,2098,[232],"[1441, 1487]",5
4584,728,[449],[1363],3
4871,1935,[1078],[1472],4
3927,1711,[533],[1494],5
3336,2503,[198],"[1457, 1377, 1380]",3
2849,1479,[144],"[1394, 1363]",5
875,783,[4],"[1451, 1401]",3
4741,1931,[1076],[1360],4
2537,699,[407],[1363],4
2533,877,[567],"[1438, 1475]",5
5506,26,[24],[1361],4
4879,1029,[64],"[1381, 1363, 1473, 1370]",3
558,2512,[1290],"[1457, 1449, 1377, 1360, 1470]",4
1940,1298,[672],[1562],2
739,1419,[838],[1473],4
984,2428,[144],"[1492, 1400]",5
2380,1128,[704],"[1418, 1417, 1475, 1438]",3
5414,2526,[120],[1363],4
3140,2444,[339],"[1363, 1398, 1374, 1457]",2
2156,2059,[615],"[1363, 1397]",5
1491,2632,[715],"[1661, 1445]",4
2614,2380,[1246],[1383],1
4303,2193,[1172],"[1438, 1470, 1449, 1373]",5
1278,2075,[1126],"[1540, 1568, 1379, 1380]",3
4159,1319,[296],[1383],5
4174,932,[389],"[1360, 1551]",2
884,1687,[578],"[1464, 1419, 1360, 1540, 1458]",4
3194,1715,[407],"[1363, 1418, 1398, 1485]",4
3434,2053,[672],[1390],5
5144,624,[430],"[1473, 1379, 1380]",1
923,506,[359],[1366],4
3967,413,[301],[1401],4
4359,2185,[175],[1369],5
5246,1272,[771],"[1418, 1449, 1417, 1371, 1428, 1438]",4
2456,788,[429],"[1360, 1377, 1409, 1464]",5
258,1726,[992],[1457],2
3804,932,[389],"[1360, 1551]",3
1571,2475,[814],"[1360, 1584, 1445, 1377, 1402]",5
4114,192,[1],[1432],4
5131,65,[50],[1398],4
3648,1590,[25],"[1360, 1464, 1380]",5
4126,1437,[505],[1366],4
5035,2144,[1158],[1398],5
1396,2498,[184],"[1372, 1438, 1495, 1371, 1469, 1418]",3
3836,2573,[96],"[1403, 1567]",3
3270,2602,[1328],[1417],5
3736,2274,[285],"[1363, 1398, 1575]",4
3579,343,[250],[1369],3
1011,2447,[339],[1363],5
1547,2513,[72],[1383],5
2485,2245,[1192],"[1464, 1398, 1440, 1378]",3
4949,2653,[1073],[1425],3
2799,1925,[612],"[1377, 1457, 1540, 1380, 1379, 1378]",5
2632,1321,[796],"[1378, 1424, 1586, 1475]",3
4071,2008,[304],"[1377, 1402, 1398, 1464, 1480]",4
1589,813,[165],[1366],5
4784,2461,[1271],"[1653, 1398]",5
4839,1559,[102],[1363],4
2120,2510,[15],"[1457, 1380, 1377, 1418, 1481]",3
1452,426,[291],[1499],3
10,1592,[922],"[1411, 1521, 1615, 1388]",5
4233,2454,[476],"[1366, 1635]",3
2342,1102,[166],[1565],4
4339,2357,[407],[1363],3
1744,2333,[682],"[1450, 1360, 1568, 1380]",5
1346,827,[535],"[1363, 1454]",5
1826,388,[246],[1366],4
1949,648,[126],"[1369, 1456]",5
3002,1389,[352],[1398],4
2736,2449,[339],[1363],3
4330,921,[595],[1531],5
1590,378,[125],"[1377, 1457, 1398, 1437, 1414, 1363]",4
2618,541,[370],[1366],5
2345,2174,[235],"[1457, 1374, 1398, 1401, 1398, 1369]",4
2145,2053,[672],[1390],3
1733,1369,[477],[1366],4
174,849,[310],"[1453, 1432]",5
3203,1080,[683],[1381],2
1927,1059,[672],[1562],5
755,2345,[29],[1473],4
380,2349,[1236],[1367],4
2694,374,[277],"[1377, 1457, 1363, 1437, 1370]",4
2727,811,[165],[1366],5
1918,289,[210],[1478],4
3656,2066,[1124],"[1372, 1438, 1418, 1417]",3
304,2027,"[543, 1110]",[1438],4
3053,180,[126],"[1369, 1456]",3
2867,1236,[528],"[1360, 1517, 1521, 1531]",4
1465,367,[271],"[1457, 1464, 1419]",3
842,385,[272],[1424],2
2363,1609,[282],[1398],5
1915,544,[380],"[1360, 1419, 1402, 1457]",5
4878,1929,[36],"[1457, 1377, 1409, 1568]",4
5122,1248,[509],"[1443, 1378, 1401, 1424, 1387]",4
5460,1364,[104],[1366],4
2312,63,[50],[1398],4
2464,1810,[1028],[1366],5
4060,2380,[1246],[1383],5
1559,2394,[15],"[1385, 1648]",5
3280,1203,[25],[1361],5
1904,2459,[967],"[1406, 1360, 1622, 1455]",5
1899,1129,[485],"[1465, 1369, 1398]",4
3671,2414,[816],"[1363, 1374, 1494]",5
3827,2602,[1328],[1417],5
1153,1043,[666],[1370],3
3659,2480,[1277],[1423],3
5564,2240,"[1190, 638]",[1363],4
54,2316,[1222],[1411],3
1626,37,[34],"[1394, 1382, 1361, 1407, 1398, 1408]",3
3232,62,[50],[1398],4
4912,1027,[64],[1370],3
3283,1240,[754],[1383],4
4648,54,[50],[1398],5
3322,18,[15],"[1383, 1384, 1385]",5
3423,952,[613],[1363],3
2868,725,[149],[1363],3
1834,2429,[144],"[1405, 1394, 1363, 1492, 1393, 1400]",3
3153,2447,[339],[1363],4
1609,496,[246],[1362],4
515,170,[119],[1363],2
5378,2611,[1333],"[1363, 1398, 1370]",4
1567,1887,[838],"[1399, 1385]",4
2831,2225,[1177],"[1416, 1438, 1417, 1377]",3
1916,111,[74],[1432],5
5516,1957,[849],[1366],2
849,2171,[235],"[1479, 1401, 1376]",4
5402,1482,[672],[1562],4
4302,1597,[496],"[1360, 1457, 1380]",3
5174,1414,[714],"[1540, 1378, 1379, 1424]",5
240,2396,[612],[1472],3
3501,111,[74],[1432],5
3992,2362,[1106],"[1419, 1424, 1540, 1378, 1464]",5
4284,1597,[496],"[1360, 1457, 1380]",5
2955,842,[129],"[1377, 1457, 1379, 1360]",3
3383,430,[310],[1410],2
2964,952,[613],[1363],3
2185,2460,[967],"[1622, 1393, 1455]",5
428,1437,[505],[1366],5
919,1264,[436],[1401],4
5067,984,[632],"[1473, 1377, 1399]",3
1571,2622,[1337],[1374],4
263,1783,[519],"[1370, 1441, 1398, 1387]",2
757,2553,[1302],"[1369, 1584]",4
3363,430,[310],[1410],4
2867,932,[389],"[1360, 1551]",5
1659,2615,[500],"[1518, 1540, 1443, 1568]",3
4830,1391,[823],"[1383, 1591]",5
1539,1388,[352],[1398],5
2123,112,[75],"[1433, 1398, 1370]",3
447,1927,[1074],"[1360, 1398, 1370, 1376, 1401]",5
1244,2300,[209],"[1387, 1398, 1454, 1385]",4
4663,983,[296],"[1554, 1443, 1401, 1370]",5
5017,1264,[436],[1401],3
5545,593,[415],"[1379, 1360, 1377]",4
4011,2461,[1271],"[1653, 1398]",5
1114,63,[50],[1398],5
793,1030,[411],"[1363, 1364]",4
4609,2302,[149],"[1370, 1387, 1527, 1377]",4
5555,1103,[691],"[1371, 1428]",5
1666,2499,[15],"[1377, 1457, 1481, 1418]",4
1597,2632,[715],"[1661, 1445]",5
4854,871,[566],[1388],3
1864,2446,[339],[1363],4
4482,505,[359],[1366],5
5173,1246,[93],"[1367, 1369]",3
5372,1575,[165],[1398],4
191,493,[93],[1369],5
4641,2482,[1279],[1363],3
5475,1110,[694],"[1418, 1372, 1417, 1463]",3
2658,725,[149],[1363],4
588,973,[624],[1363],4
1246,1947,[1082],"[1381, 1380, 1377, 1379, 1418]",3
102,2632,[715],"[1661, 1445]",4
3449,493,[93],[1369],3
1655,1925,[612],"[1377, 1457, 1540, 1380, 1379, 1378]",4
4366,2040,"[543, 50]","[1390, 1398, 1370]",5
4365,811,[165],[1366],3
4244,1853,[170],"[1363, 1482, 1401]",3
1145,425,[308],"[1457, 1401, 1387, 1457]",5
5439,68,[50],[1398],4
878,1833,[1036],[1398],4
5016,63,[50],[1398],3
5184,2040,"[543, 50]","[1390, 1398, 1370]",1
2830,2012,[983],"[1366, 1369]",3
1971,2299,[944],[1361],3
189,2574,[1315],"[1439, 1464, 1370]",4
3182,2297,[824],"[1592, 1403]",4
3308,2012,[983],"[1366, 1369]",4
3746,777,[514],"[1360, 1419, 1521, 1377]",4
1622,2458,[607],"[1517, 1402, 1480]",3
702,2077,[672],[1562],4
3702,1366,[321],[1366],5
2299,2479,[1276],"[1398, 1374, 1539, 1369]",3
1148,2276,[387],"[1394, 1492, 1645, 1567, 1370]",4
3188,453,[264],[1360],5
1796,735,[449],[1363],3
2098,2162,[1165],[1398],4
1962,2516,[1291],"[1379, 1402, 1377, 1480]",2
237,64,[50],[1398],3
962,1773,"[373, 374]",[1363],2
4213,1279,[774],"[1530, 1540, 1360, 1568, 1377]",2
506,1165,[715],"[1473, 1380, 1379, 1377]",4
2396,2259,[414],"[1439, 1378, 1424]",5
2458,70,[50],[1398],4
3307,2115,[1143],"[1439, 1438, 1475]",5
3067,419,[93],"[1369, 1398]",5
4293,2639,[246],[1362],4
4633,1574,[912],[1374],2
59,309,[228],"[1363, 1398, 1464]",3
2828,2598,[1325],"[1360, 1380, 1379]",5
3142,1437,[505],[1366],3
2808,2053,[672],[1390],3
1989,186,[129],"[1360, 1379, 1377]",5
95,720,[367],"[1515, 1361]",4
2319,536,[161],[1465],4
1894,2045,[321],[1366],4
5015,1278,[773],"[1372, 1417, 1428, 1438, 1416]",4
4620,1140,[563],"[1366, 1363]",4
2060,1935,[1078],[1472],4
5029,1776,[240],[1383],4
5014,913,[592],"[1361, 1472, 1376]",3
1716,18,[15],"[1383, 1384, 1385]",5
5427,1599,[139],[1616],5
5372,1892,[484],"[1457, 1398, 1363, 1503]",4
1670,1839,[554],[1439],5
3021,2339,[1233],[1451],4
1827,1520,[21],[1445],3
43,913,[592],"[1361, 1472, 1376]",4
3021,653,[248],"[1434, 1363, 1533, 1486, 1534]",5
2556,1208,[738],"[1361, 1401, 1571, 1385]",1
3214,1320,[695],"[1360, 1473, 1485, 1457]",5
5268,2012,[983],"[1366, 1369]",4
197,2509,[1289],"[1502, 1655]",3
5115,1297,[672],[1562],4
2159,18,[15],"[1383, 1384, 1385]",5
4601,276,[194],[1473],3
920,2012,[983],"[1366, 1369]",5
1936,2015,[1106],"[1419, 1457, 1464, 1378, 1540, 1424, 1409]",5
4892,2327,[1227],"[1473, 1398, 1399, 1370, 1363]",5
4770,1279,[774],"[1530, 1540, 1360, 1568, 1377]",4
4714,426,[291],[1499],5
3062,578,[235],"[1479, 1401, 1376]",4
4534,1858,[1049],[1360],5
148,248,[173],"[1398, 1374, 1369]",4
1663,1856,[1048],"[1401, 1374, 1398, 1540, 1443]",4
5024,2302,[149],"[1370, 1387, 1527, 1377]",4
2730,623,[429],"[1377, 1409, 1360]",4
3474,425,[308],"[1457, 1401, 1387, 1457]",5
5069,1420,[839],"[1427, 1598]",5
5571,1370,[816],[1374],4
105,785,[520],[1363],4
4263,2116,[411],[1363],4
4364,2509,[1289],"[1502, 1655]",4
630,2632,[715],"[1661, 1445]",5
2208,1201,[522],[1472],4
2205,269,[186],[1398],3
5397,18,[15],"[1383, 1384, 1385]",3
2424,68,[50],[1398],3
4564,1519,[883],"[1360, 1464, 1380, 1377]",5
3614,66,[50],[1398],4
3932,1299,[781],"[1540, 1530, 1581, 1509]",3
1002,1328,[800],"[1468, 1472]",3
905,241,[168],[1451],5
1884,1962,[533],[1366],3
4593,140,[95],[1369],3
4951,1801,[515],"[1457, 1360, 1528, 1377]",4
2198,670,[163],"[1377, 1360, 1374, 1369]",5
50,2339,[1233],[1451],4
4708,791,[523],[1452],5
1446,2669,[404],[1398],3
4788,67,[50],[1398],4
5098,720,[367],"[1515, 1361]",3
2044,275,[193],[1381],4
2963,2306,[1219],[1439],0
3775,1485,[449],"[1537, 1374]",5
5256,1283,[635],[1426],3
1104,1483,[816],[1360],3
1667,1667,[912],"[1374, 1362]",5
1096,2306,[1219],[1439],5
4063,1741,[968],[1624],3
2851,2594,[645],"[1377, 1457, 1380, 1481, 1464]",5
947,544,[380],"[1360, 1419, 1402, 1457]",3
3021,136,[75],"[1401, 1370, 1440]",4
3465,2400,[189],"[1377, 1418, 1649, 1457, 1568]",5
1943,1835,[324],[1403],3
2353,111,[74],[1432],3
5548,1208,[738],"[1361, 1401, 1571, 1385]",5
4518,1822,[196],"[1541, 1630]",5
4267,180,[126],"[1369, 1456]",3
3400,1812,[651],"[1457, 1398, 1521, 1363, 1374]",4
3021,506,[359],[1366],4
861,849,[310],"[1453, 1432]",5
4262,2167,[235],"[1479, 1401, 1376]",5
2273,778,[515],"[1438, 1411]",5
1489,1660,[75],"[1366, 1433, 1370]",5
5391,18,[15],"[1383, 1384, 1385]",3
1758,1490,"[353, 869]","[1475, 1377, 1416]",5
2945,1233,[520],"[1363, 1473, 1575]",3
798,68,[50],[1398],3
158,2632,[715],"[1661, 1445]",5
1924,2390,[407],"[1560, 1385]",5
2632,488,[126],"[1369, 1456]",4
2271,238,[163],"[1466, 1375]",4
1163,112,[75],"[1433, 1398, 1370]",3
2084,2246,[1193],[1360],5
1436,1201,[522],[1472],3
3681,2594,[645],"[1377, 1457, 1380, 1481, 1464]",5
643,281,[199],[1363],2
405,205,[143],[1462],4
5360,219,[154],[1427],5
3994,1797,[685],"[1540, 1568, 1409, 1464]",3
2958,915,[328],[1368],5
4405,108,[71],[1431],3
778,1326,[336],[1403],4
5001,1145,[485],[1369],4
5177,804,[167],"[1366, 1369]",5
249,213,[150],"[1426, 1421]",4
1750,1328,[800],"[1468, 1472]",5
4871,1051,[667],"[1521, 1540, 1378, 1457]",4
5505,1967,[1089],[1367],5
3299,874,[84],"[1366, 1361, 1401, 1376]",3
5208,18,[15],"[1383, 1384, 1385]",4
1356,2522,[922],"[1438, 1378, 1521, 1417, 1416]",4
3168,1297,[672],[1562],4
1076,769,[508],"[1363, 1494]",5
3041,2632,[715],"[1661, 1445]",5
1002,503,[75],"[1433, 1401, 1370]",3
3011,469,[334],"[1503, 1395, 1504, 1454]",1
4036,663,[457],[1535],5
156,2342,[328],[1403],5
5134,1320,[695],"[1360, 1473, 1485, 1457]",3
1550,180,[126],"[1369, 1456]",3
2978,1350,[810],"[1419, 1540, 1464]",4
5479,1506,[875],"[1402, 1380, 1398, 1480]",5
2356,2316,[1222],[1411],4
1424,1421,[840],"[1399, 1533, 1360, 1398]",4
4613,18,[15],"[1383, 1384, 1385]",3
2995,1055,[669],[1561],4
5022,1156,[711],[1398],4
3809,1328,[800],"[1468, 1472]",5
2218,2577,[310],"[1360, 1432]",2
5511,151,[103],[1445],4
3062,922,[596],"[1374, 1531, 1540]",4
3779,769,[508],"[1363, 1494]",2
2639,458,[327],"[1426, 1376]",5
20,2459,[967],"[1406, 1360, 1622, 1455]",5
588,1401,[827],"[1371, 1596, 1388, 1574, 1438]",5
4243,1322,[797],"[1464, 1398, 1556, 1419, 1434, 1363]",5
3699,2563,[211],"[1363, 1377, 1437, 1364, 1398]",3
4332,1908,[743],"[1434, 1398]",4
4272,2233,[126],[1363],3
2545,175,[21],"[1411, 1452]",4
1103,1479,[144],"[1394, 1363]",3
4192,236,[163],"[1466, 1375]",4
2475,1863,[1052],[1464],4
1069,477,[340],"[1419, 1464, 1378]",4
1018,784,[519],"[1363, 1441, 1401, 1370]",5
2848,2314,[1221],"[1377, 1374, 1360, 1409]",5
1510,1141,[543],[1398],4
94,158,[107],"[1370, 1376]",3
152,1398,[822],"[1540, 1594, 1568, 1527]",3
2881,1691,[543],"[1369, 1487, 1370]",5
1998,474,[338],"[1399, 1377, 1486, 1457]",4
5552,915,[328],[1368],4
3999,544,[380],"[1360, 1419, 1402, 1457]",4
3589,142,[97],"[1401, 1387, 1441, 1383, 1360]",2
2433,781,[518],[1403],5
5252,621,[179],[1399],4
3376,1203,[25],[1361],5
86,788,[429],"[1360, 1377, 1409, 1464]",5
5333,373,[25],"[1377, 1457, 1464, 1360]",5
1088,542,[370],[1366],3
287,1909,[93],"[1369, 1398]",5
2988,1059,[672],[1562],3
4061,1926,[1073],[1425],4
4007,634,[280],[1375],4
1944,1325,[799],"[1540, 1568, 1380, 1457]",5
3892,1479,[144],"[1394, 1363]",5
2306,1279,[774],"[1530, 1540, 1360, 1568, 1377]",5
2215,2233,[126],[1363],5
4281,627,[432],"[1409, 1457, 1380]",3
3706,849,[310],"[1453, 1432]",3
2329,1992,[124],"[1387, 1454]",4
2470,387,[286],"[1363, 1457, 1434, 1398, 1377]",2
184,608,[328],[1360],2
2886,2265,[1202],"[1398, 1374, 1644, 1360]",2
5487,1386,[352],"[1590, 1398]",5
4404,497,[353],[1369],5
719,609,[418],"[1360, 1464, 1457]",3
2545,1208,[738],"[1361, 1401, 1571, 1385]",5
3487,890,[576],[1366],2
1764,660,[454],"[1363, 1370]",3
4160,1319,[296],[1383],3
1670,70,[50],[1398],3
2082,314,[64],"[1387, 1483]",3
2433,798,[496],"[1402, 1379, 1473, 1509]",4
2651,2501,[932],"[1457, 1377, 1481, 1360, 1380]",4
687,1479,[144],"[1394, 1363]",2
2779,849,[310],"[1453, 1432]",2
4912,685,[465],"[1418, 1414, 1438, 1428, 1415]",4
3237,773,[0],"[1360, 1361, 1362]",5
4312,2482,[1279],[1363],3
4608,2078,[1128],[1394],5
4894,180,[126],"[1369, 1456]",5
2981,1159,[712],[1360],5
2348,2276,[387],"[1394, 1492, 1645, 1567, 1370]",3
994,130,[88],[1385],4
2604,1518,[134],"[1473, 1458, 1428, 1457, 1377]",5
5137,932,[389],"[1360, 1551]",5
3001,136,[75],"[1401, 1370, 1440]",3
324,578,[235],"[1479, 1401, 1376]",5
5153,1677,[972],"[1438, 1411]",4
3412,2274,[285],"[1363, 1398, 1575]",4
1406,2137,[1156],"[1639, 1640]",5
603,2324,[682],[1383],3
3517,349,[93],"[1381, 1457, 1378, 1486, 1374]",5
908,240,[70],"[1418, 1417, 1414, 1428, 1449, 1371]",4
5381,2244,[608],"[1360, 1547, 1643, 1361, 1567]",5
4258,1265,[433],[1360],5
4583,430,[310],[1410],3
1909,679,[449],[1537],4
1095,621,[179],[1399],5
2969,2182,[714],"[1457, 1378, 1568, 1540, 1399]",1
4090,1608,[932],[1392],4
4559,90,[55],"[1427, 1374]",5
2470,384,[284],[1363],4
4316,2154,[250],"[1369, 1413]",5
4472,1097,[688],[1411],5
3763,378,[125],"[1377, 1457, 1398, 1437, 1414, 1363]",2
5013,100,[63],"[1398, 1360, 1363]",3
1999,1711,[533],[1494],3
4656,18,[15],"[1383, 1384, 1385]",4
4854,2460,[967],"[1622, 1393, 1455]",4
821,1417,[837],"[1598, 1599, 1376]",2
356,1437,[505],[1366],3
291,1059,[672],[1562],5
2565,2574,[1315],"[1439, 1464, 1370]",4
4169,1098,[689],[1374],4
5512,1208,[738],"[1361, 1401, 1571, 1385]",1
5307,1775,[595],[1531],4
5465,426,[291],[1499],4
5556,68,[50],[1398],3
4667,312,[230],"[1457, 1439, 1360, 1393]",4
3147,812,[165],[1499],5
4272,2053,[672],[1390],5
5295,437,[317],[1451],4
1215,1322,[797],"[1464, 1398, 1556, 1419, 1434, 1363]",4
4348,903,[585],"[1377, 1481, 1360, 1457]",4
4050,1307,[682],"[1360, 1380, 1568, 1409]",3
4936,2466,[1272],[1438],3
5029,1216,[515],"[1540, 1380, 1457]",4
3244,453,[264],[1360],5
5513,503,[75],"[1433, 1401, 1370]",1
4992,765,"[505, 506]","[1398, 1374, 1539, 1363]",4
1120,447,[322],[1363],4
2672,1203,[25],[1361],5
1449,479,[340],"[1419, 1457, 1378, 1424]",3
5183,2459,[967],"[1406, 1360, 1622, 1455]",4
4241,242,[169],"[1402, 1377, 1378, 1380]",4
3512,2118,[411],[1363],4
1189,243,[89],[1374],3
2877,1347,[97],"[1451, 1588, 1401, 1387]",5
1366,1922,[1071],[1401],4
2848,2553,[1302],"[1369, 1584]",4
4115,2464,[967],"[1457, 1406, 1622, 1383, 1455]",5
1198,1859,[505],"[1401, 1374, 1398, 1443, 1539]",4
1995,333,[211],[1403],4
2814,1095,[28],[1564],3
3442,2482,[1279],[1363],4
5067,2677,[824],"[1377, 1380, 1380, 1568, 1379]",3
3023,1279,[774],"[1530, 1540, 1360, 1568, 1377]",1
4356,2536,[139],[1616],3
324,2069,[543],"[1439, 1398, 1457, 1440]",5
3865,1279,[774],"[1530, 1540, 1360, 1568, 1377]",3
193,1437,[505],[1366],5
5072,783,[4],"[1451, 1401]",5
1514,63,[50],[1398],4
3039,459,[126],"[1470, 1449, 1418, 1411, 1377]",3
4231,287,[208],[1385],4
329,517,[197],[1424],5
2366,146,[99],"[1443, 1441, 1387]",5
2239,877,[567],"[1438, 1475]",4
2792,1509,[107],"[1370, 1376]",2
2166,1822,[196],"[1541, 1630]",0
2210,2632,[715],"[1661, 1445]",5
3693,1499,[211],"[1405, 1363, 1385]",5
2877,2632,[715],"[1661, 1445]",5
1297,2028,[404],[1398],4
459,1667,[912],"[1374, 1362]",4
3685,2372,[1142],[1560],4
774,122,[82],"[1437, 1363]",5
1601,1863,[1052],[1464],5
5376,1863,[1052],[1464],5
339,370,[274],[1438],4
2554,1741,[968],[1624],2
2852,363,"[267, 268]","[1438, 1377, 1414, 1418, 1371, 1428, 1415]",3
